# Configuration automatically generated by WRITE_CONFIG()
connection ethernet
#connection (actual) ?
device any
#device (actual) t7
name "LJ1"
serial "470010172"
ip "192.168.1.32"
samplehz 1000.000000
settleus 100.000000
nsample 10000

# Analog Inputs
aichannel 10
ailabel "Ch0 Current"
ainegative 199
airange 1.000000
airesolution 0
aicalslope 99.879646
aicalzero 0.001340
aicalunits "uA"

aichannel 11
ailabel "Ch0 Voltage"
ainegative 199
airange 10.000000
airesolution 0
aicalslope 1.000000
aicalzero 0.000000
aicalunits "V"

# Digital output
do4 1
do5 0
do6 1
do7 1

# Analog Outputs
aochannel 0
aosignal triangle
aofrequency 5.000000
aoamplitude 2.500000
aooffset 2.500000
aoduty 0.500000

# Meta Parameters
meta float
fg_scfh 4.550000
o2_scfh 5.490000
meta end

## End Configuration ##
#: Wed Oct 13 14:46:37 2021
2.356626e-02	7.377672e+00
-1.134092e-01	-3.308952e+00
-1.063029e-01	-6.980761e+00
-1.242422e-01	-8.462119e+00
-1.084506e-01	-9.000650e+00
-1.117984e-01	-9.131099e+00
-1.065556e-01	-9.084036e+00
-1.046922e-01	-8.944744e+00
-1.027341e-01	-8.779868e+00
-9.486984e-02	-8.596673e+00
-1.015023e-01	-8.410634e+00
-8.997446e-02	-8.207540e+00
-9.831241e-02	-8.040453e+00
-8.169968e-02	-7.819039e+00
-9.641742e-02	-7.633948e+00
-8.409999e-02	-7.441277e+00
-7.825711e-02	-7.239761e+00
-7.989944e-02	-7.057198e+00
-7.121407e-02	-6.852208e+00
-7.345647e-02	-6.663959e+00
-6.164438e-02	-6.459917e+00
-7.020341e-02	-6.276721e+00
-4.414732e-02	-6.071415e+00
-6.088638e-02	-5.884746e+00
-4.932695e-02	-5.693022e+00
-4.165225e-02	-5.482978e+00
-5.169569e-02	-5.297888e+00
-4.370515e-02	-5.089740e+00
-5.390651e-02	-4.897700e+00
-4.790571e-02	-4.692079e+00
-5.419075e-02	-4.517411e+00
-4.193649e-02	-4.300735e+00
-5.561200e-02	-4.111222e+00
-4.686347e-02	-3.928658e+00
-3.852551e-02	-3.713245e+00
-5.169569e-02	-3.532577e+00
-3.874660e-02	-3.329166e+00
-4.673713e-02	-3.139338e+00
-3.798860e-02	-2.946666e+00
-3.884135e-02	-2.750521e+00
-3.530404e-02	-2.547110e+00
-4.417890e-02	-2.353492e+00
-3.789385e-02	-2.168401e+00
-3.151406e-02	-1.955515e+00
-4.512639e-02	-1.772635e+00
-3.208255e-02	-1.574910e+00
-4.108375e-02	-1.380344e+00
-3.018757e-02	-1.171248e+00
-3.947301e-02	-9.839461e-01
-3.514612e-02	-7.840102e-01
-3.963093e-02	-5.907072e-01
-2.939799e-02	-4.037214e-01
-2.244969e-02	-1.943098e-01
-3.104031e-02	-1.964221e-02
-9.563771e-03	1.945322e-01
-1.316425e-02	3.711176e-01
6.511859e-03	5.792925e-01
3.217439e-04	7.675660e-01
1.090179e-02	9.665800e-01
7.711984e-03	1.162435e+00
1.586020e-02	1.356079e+00
1.295463e-02	1.563938e+00
2.034487e-02	1.745577e+00
2.764037e-02	1.958491e+00
5.248570e-03	2.139499e+00
2.704030e-02	2.343883e+00
1.096495e-02	2.544792e+00
1.406001e-02	2.733382e+00
1.908158e-02	2.935555e+00
1.586020e-02	3.125723e+00
1.380735e-02	3.325369e+00
1.254406e-02	3.514590e+00
2.047120e-02	3.721502e+00
7.080339e-03	3.902509e+00
2.435581e-02	4.106578e+00
1.731298e-02	4.306540e+00
1.314413e-02	4.490075e+00
2.208189e-02	4.694458e+00
1.636551e-02	4.884943e+00
2.223981e-02	5.083010e+00
2.160816e-02	5.269704e+00
2.167132e-02	5.480090e+00
1.267039e-02	5.662677e+00
2.606126e-02	5.866114e+00
1.886051e-02	6.065128e+00
1.570229e-02	6.253086e+00
2.141867e-02	6.459365e+00
1.718665e-02	6.645427e+00
1.857627e-02	6.852023e+00
1.977639e-02	7.045666e+00
2.078702e-02	7.248155e+00
1.055438e-02	7.432006e+00
2.571385e-02	7.635758e+00
1.633393e-02	7.834456e+00
1.630235e-02	8.020519e+00
1.927108e-02	8.226798e+00
1.740773e-02	8.412861e+00
2.713505e-02	8.615665e+00
1.589178e-02	8.807097e+00
2.066069e-02	9.009271e+00
9.354259e-03	9.196280e+00
2.473480e-02	9.366232e+00
1.491273e-02	9.334959e+00
1.652342e-02	9.200704e+00
1.579703e-02	9.039597e+00
1.459691e-02	8.841214e+00
2.312411e-02	8.666208e+00
1.213349e-02	8.463404e+00
1.914475e-02	8.273235e+00
1.207033e-02	8.078012e+00
