# Configuration automatically generated by WRITE_CONFIG()
connection ethernet
#connection (actual) ?
device any
#device (actual) t7
name "LJ1"
serial "470010172"
ip "192.168.1.32"
samplehz 1000.000000
settleus 100.000000
nsample 10000

# Analog Inputs
aichannel 10
ailabel "Ch0 Current"
ainegative 199
airange 1.000000
airesolution 0
aicalslope 99.879646
aicalzero 0.00134
aicalunits "uA"

aichannel 11
ailabel "Ch0 Voltage"
ainegative 199
airange 10.000000
airesolution 0
aicalslope 1.000000
aicalzero 0.000000
aicalunits "V"

# Digital output
do4 1
do5 0
do6 1
do7 1

# Analog Outputs
aochannel 0
aosignal constant
aofrequency 500.000000
aoamplitude 0.000000
aooffset 5.000000
aoduty 0.500000


## End Configuration ##
#: Wed Oct 13 14:25:43 2021
8.248881e-03	9.389924e+00
-5.647461e-03	9.392136e+00
5.059077e-03	9.405403e+00
-8.110947e-03	9.401612e+00
1.585033e-03	9.397506e+00
3.701042e-03	9.416143e+00
-1.294317e-02	9.395294e+00
1.162818e-02	9.407930e+00
-6.437040e-03	9.391504e+00
3.258890e-03	9.409510e+00
-4.668384e-03	9.410773e+00
2.216677e-03	9.419303e+00
-8.932108e-03	9.413301e+00
6.259202e-03	9.413301e+00
-2.931311e-03	9.413616e+00
-4.289386e-03	9.398769e+00
7.007305e-04	9.408246e+00
1.111299e-03	9.393715e+00
1.175451e-02	9.418355e+00
-4.921049e-03	9.413301e+00
3.533261e-04	9.418671e+00
-6.531789e-03	9.437941e+00
2.090348e-03	9.470478e+00
-8.521527e-03	9.472373e+00
2.532499e-03	9.484061e+00
-1.240625e-02	9.478059e+00
3.764206e-03	9.485325e+00
-5.900126e-03	9.484061e+00
-2.331231e-03	9.479007e+00
1.837690e-03	9.483746e+00
2.585794e-04	9.479322e+00
-2.394397e-03	9.485009e+00
-4.857882e-03	9.477427e+00
2.269972e-04	9.488799e+00
-4.163053e-03	9.473952e+00
9.796411e-03	9.494170e+00
-8.932108e-03	9.476480e+00
4.616926e-03	9.481534e+00
-3.973554e-03	9.485641e+00
-3.026060e-03	9.479955e+00
-1.983816e-03	9.485009e+00
1.174464e-03	9.484061e+00
-5.078964e-03	9.477743e+00
6.164455e-03	9.478691e+00
-3.405058e-03	9.489431e+00
-1.161668e-02	9.472373e+00
8.596286e-03	9.488168e+00
-5.047381e-03	9.485325e+00
1.490286e-03	9.477112e+00
-1.478486e-03	9.479955e+00
7.996224e-03	9.476795e+00
-4.226220e-03	9.479322e+00
7.427744e-03	9.486904e+00
-4.320969e-03	9.483429e+00
-4.826299e-03	9.475216e+00
3.669459e-03	9.490695e+00
-1.259575e-02	9.477427e+00
7.323128e-04	9.485009e+00
-8.110947e-03	9.480270e+00
-2.741812e-03	9.482798e+00
-2.962894e-03	9.479007e+00
8.902239e-04	9.487220e+00
-8.774193e-03	9.477112e+00
4.711673e-03	9.482482e+00
-1.383737e-03	9.487536e+00
-2.331231e-03	9.477427e+00
1.490286e-03	9.488483e+00
-2.647062e-03	9.476480e+00
-1.383737e-03	9.486588e+00
6.691483e-04	9.482165e+00
-9.731557e-04	9.485009e+00
-6.121208e-03	9.460369e+00
5.469646e-03	9.448681e+00
-1.066918e-02	9.415196e+00
8.122552e-03	9.412037e+00
-1.016385e-02	9.389608e+00
1.030173e-02	9.401612e+00
-4.573634e-03	9.407930e+00
-2.173315e-03	9.405087e+00
-9.415725e-04	9.405403e+00
-2.425980e-03	9.394031e+00
6.575024e-03	9.402560e+00
-8.805776e-03	9.382659e+00
1.267039e-02	9.391504e+00
-2.931311e-03	9.381711e+00
9.796411e-03	9.397506e+00
-8.142530e-03	9.402876e+00
-3.278725e-03	9.401612e+00
-2.151602e-04	9.404772e+00
-5.625748e-04	9.404140e+00
-3.941971e-03	9.402876e+00
1.806108e-03	9.399085e+00
-6.594955e-03	9.402876e+00
1.300793e-03	9.403824e+00
1.016553e-03	9.424041e+00
-1.107976e-02	9.410773e+00
4.206357e-03	9.413616e+00
-2.046983e-03	9.411721e+00
6.375661e-04	9.409825e+00
-4.605217e-03	9.396874e+00
7.648819e-03	9.406035e+00
-9.279523e-03	9.400349e+00
8.975273e-03	9.422777e+00
-5.994876e-03	9.420250e+00
-8.016197e-03	9.409825e+00
5.627557e-03	9.416143e+00
-6.468623e-03	9.408246e+00
-3.278725e-03	9.407299e+00
-1.519939e-04	9.395926e+00
-1.762734e-03	9.407930e+00
-2.204898e-03	9.405403e+00
1.027014e-02	9.427832e+00
-1.114293e-02	9.414564e+00
-2.394397e-03	9.409194e+00
4.522179e-03	9.417407e+00
