# Configuration automatically generated by WRITE_CONFIG()
connection ethernet
#connection (actual) ?
device any
#device (actual) t7
name "LJ1"
serial "470010172"
ip "192.168.1.32"
samplehz 1000.000000
settleus 100.000000
nsample 10000

# Analog Inputs
aichannel 10
ailabel "Ch0 Current"
ainegative 199
airange 1.000000
airesolution 0
aicalslope 99.879646
aicalzero 0.023000
aicalunits "uA"

aichannel 11
ailabel "Ch0 Voltage"
ainegative 199
airange 10.000000
airesolution 0
aicalslope 1.000000
aicalzero 0.000000
aicalunits "V"

# Digital output
do4 1
do5 0
do6 1
do7 1

# Analog Outputs
aochannel 0
aosignal constant
aofrequency 500.000000
aoamplitude 0.000000
aooffset 5.000000
aoduty 0.500000


## End Configuration ##
#: Wed Oct 13 14:06:09 2021
8.754198e-03	-2.514794e-01
5.075855e-02	5.766607e+00
5.044273e-02	7.890370e+00
3.465162e-02	8.748657e+00
4.024167e-02	9.143210e+00
2.893524e-02	9.283784e+00
3.417788e-02	9.365285e+00
1.977639e-02	9.375393e+00
4.251559e-02	9.413301e+00
1.822886e-02	9.390872e+00
3.815725e-02	9.418039e+00
2.223981e-02	9.394347e+00
4.106281e-02	9.437625e+00
1.772355e-02	9.414248e+00
3.263036e-02	9.432254e+00
2.163974e-02	9.423725e+00
3.509377e-02	9.423094e+00
1.494431e-02	9.413301e+00
3.263036e-02	9.422462e+00
1.800779e-02	9.403508e+00
3.875731e-02	9.434150e+00
1.459691e-02	9.420567e+00
3.348308e-02	9.433202e+00
2.577701e-02	9.426884e+00
2.811410e-02	9.426568e+00
2.160816e-02	9.415196e+00
3.623073e-02	9.426252e+00
2.350309e-02	9.399402e+00
3.834674e-02	9.432570e+00
1.797621e-02	9.417091e+00
3.859940e-02	9.443626e+00
1.257565e-02	9.424356e+00
3.120916e-02	9.430359e+00
1.743931e-02	9.420567e+00
3.790459e-02	9.423409e+00
9.954321e-03	9.401297e+00
4.292616e-02	9.467951e+00
6.575024e-03	9.454051e+00
4.523166e-02	9.490063e+00
1.027014e-02	9.478375e+00
3.158814e-02	9.473952e+00
2.820885e-02	9.482798e+00
2.940897e-02	9.479007e+00
1.788146e-02	9.479955e+00
3.954686e-02	9.482165e+00
1.298621e-02	9.475848e+00
3.916788e-02	9.490063e+00
1.390210e-02	9.485325e+00
2.312411e-02	9.471425e+00
3.477795e-02	9.489431e+00
2.157658e-02	9.478375e+00
2.385050e-02	9.484061e+00
3.177764e-02	9.480586e+00
1.908158e-02	9.476795e+00
3.468320e-02	9.487536e+00
2.081861e-02	9.479639e+00
2.963005e-02	9.478059e+00
2.836676e-02	9.489747e+00
2.662973e-02	9.476164e+00
2.713505e-02	9.484693e+00
2.820885e-02	9.484693e+00
2.441898e-02	9.474585e+00
3.834674e-02	9.492274e+00
8.375211e-03	9.479955e+00
3.424105e-02	9.476795e+00
2.893524e-02	9.497644e+00
1.336520e-02	9.470478e+00
3.443054e-02	9.491011e+00
2.318727e-02	9.476795e+00
2.012380e-02	9.484061e+00
3.642022e-02	9.480902e+00
1.826045e-02	9.483746e+00
2.495588e-02	9.472373e+00
3.780984e-02	9.497329e+00
9.796411e-03	9.467634e+00
3.951528e-02	9.493222e+00
1.766038e-02	9.470794e+00
3.679921e-02	9.491326e+00
2.792461e-02	9.477112e+00
2.729296e-02	9.488799e+00
2.388208e-02	9.475532e+00
3.038802e-02	9.493854e+00
1.342837e-02	9.469530e+00
3.572541e-02	9.487536e+00
1.390210e-02	9.477427e+00
3.244086e-02	9.486273e+00
2.520853e-02	9.453420e+00
2.770353e-02	9.448049e+00
2.606126e-02	9.432570e+00
2.842992e-02	9.438889e+00
1.863943e-02	9.413616e+00
3.758876e-02	9.426568e+00
1.557596e-02	9.411406e+00
3.537801e-02	9.423725e+00
2.685081e-02	9.410458e+00
3.048277e-02	9.430359e+00
2.356626e-02	9.427200e+00
3.038802e-02	9.444259e+00
1.260723e-02	9.414564e+00
4.046275e-02	9.438572e+00
9.291095e-03	9.417091e+00
4.163129e-02	9.423409e+00
9.101601e-03	9.401928e+00
3.417788e-02	9.432254e+00
1.655501e-02	9.421830e+00
3.632548e-02	9.439836e+00
1.295463e-02	9.423725e+00
3.948370e-02	9.432254e+00
1.905000e-02	9.424989e+00
3.348308e-02	9.417723e+00
1.516539e-02	9.413301e+00
3.698870e-02	9.424041e+00
1.882893e-02	9.424989e+00
2.779828e-02	9.431307e+00
2.293461e-02	9.432570e+00
3.095650e-02	9.428147e+00
1.851310e-02	9.426884e+00
2.934580e-02	9.418671e+00
2.223981e-02	9.418671e+00
3.196713e-02	9.412985e+00
